terms,subtopic
"Please also note that certain Personally Identifiable Information may be exempt from such requests in certain circumstances, which may include if we need to keep processing your Personally Identifiable Information to comply with a legal obligation , when you email us with a request, we may ask that you provide us with information necessary to confirm your identity",changes and updates
"You can ask us to erase or delete all or some of your personal data (e.g., if it is no longer necessary to provide Services to you).",changes and updates
"ï¿½You can edit some of your personal data through your account. You can also ask us to change, update or fix your data in certain cases, particularly if itï¿½s inaccurate.",changes and updates
"We collect certain data from you directly, like information you enter yourself, data about your participation in courses, and data from third-party platforms you connect.",user information collection
"We also collect some data automatically, like information about your device and what parts of our Services you interact with or spend time using.",user information collection
"When you create or update your account, we collect and store the data you provide, like your email address, password, phone number, occupation, skill interests, gender, race, ethnicity, government ID information, verification photo, age, date of birth, and account settings and assign you a unique identifying number",user information collection
"Parts of the Services let you interact with other users or share content publicly, including by posting reviews on a course page, asking or answering questions, sending messages to students or instructors, or posting photos or other work you upload and such shared content may be publicly viewable by others depending on where it is posted.",user information collection
"When you enroll in and take courses, we collect certain data including which courses, assignments and quizzes youï¿½ve started and completed; course purchases and credits; subscriptions; course certificates; your exchanges with instructors, teaching assistants, and other students; and essays, answers to questions, and other items submitted to satisfy course requirements.",user information collection
"If you make purchases, we collect certain data about your purchase (such as your name and zip code) as necessary to process your order. You must provide certain payment and billing data directly to our payment processing partners, including your name, credit card information, billing address, and zip code.",user information collection
"When you link a payment account, we collect and use certain information, including your payment account email address, account ID, physical address, or other data necessary for us to send payments to your account.",user information collection
"We may obtain certain information through your social media or other online accounts if they are connected to your account and If you login to account via Facebook or another third-party platform or service, we ask for your permission to access certain information about that other account. For example, depending on the platform or service we may collect your name, profile picture, account ID number, login email address, location, physical location of your access devices, gender, birthday, and list of friends or contacts.",user information collection
The information we receive depends on what information you (via your privacy settings) or the platform or service decide to give us.,user information collection
"f you access or use our Services through a third-party platform or service, or click on any third-party links, the collection, use, and sharing of your data will also be subject to the privacy policies and other agreements of that third party.",user information collection
"We may invite you to complete a survey or participate in a promotion (like a contest, sweepstakes, or challenge), either through the Services or a third-party platform, if you participate, we will collect and store the data you provide as part of participating, such as your name, email address, postal address, date of birth, or phone number and the data is subject to this Privacy Policy unless otherwise stated in the official rules of the promotion or in another privacy policy,  data collected will be used to administer the promotion or survey, including for notifying winners and distributing rewards to receive a reward, you may be required to allow us to post some of your information publicly (like on a winnerï¿½s page).",user information collection
"if you contact us for support or to report a problem or concern (regardless of whether you have created an account), we collect and store your contact information, messages, and other data about you like your name, email address, messages, location, user ID, refund transaction IDs, and any other data you provide or that we collect through automated means (which we cover below) and we use this data to respond to you and research your question or concern, in accordance with this Privacy Policy.",user information collection
"We collect technical data about your computer or device, like your IP address, device type, operating system type and version, unique device identifiers, browser, browser language, domain and other systems data, and platform types.",user information collection
"Usage statistics about your interactions with the Services, including courses accessed, time spent on pages or the Service, pages visited, features used, your search queries, click data, date and time, referrer, and other data regarding your use of the Services (ï¿½Usage Dataï¿½).",user information collection
"An approximate geographic location, including information like country, city, and geographic coordinates, calculated based on your IP address.",user information collection
"We use tools like cookies, web beacons, and similar tracking technologies to gather the data listed above. Some of these tools offer you the ability to opt out of data collection.",how use collected information
"We use your data to do things like provide our Services, communicate with you, troubleshoot issues, secure against fraud and abuse, improve and update our Services, analyze how people use our Services, serve personalized advertising, and as required by law or necessary for safety and integrity.",how use collected information
"Provide and administer the Services, including to facilitate course participation, issue course completion certificates, display customized content, and facilitate communication with other users.",how use collected information
"Facilitate the Servicesï¿½ technical functioning, including troubleshooting and resolving issues, securing the Services, and preventing fraud and abuse.",how use collected information
"With Your Instructors We share data that we have about you (except your email address) with instructors or teaching assistants for courses you enroll in or request information about, so they can improve their courses for you and other students and this data may include things like your city, country, browser language, operating system, device settings, the site that brought you.",how use collected information
" If we collect additional data about you (like age or gender), we may share that too.",how use collected information
"Depending on your settings, your shared content and profile data may be publicly viewable.",how use collected information
"We share your data with third-party companies who perform services on our behalf, like payment processing, fraud and abuse prevention, data analysis, marketing and advertising services (including retargeted advertising), email and hosting services, and customer services and support. ",share or transfer data
"As part of our use of third-party analytics tools like Google Analytics and data enrichment services like ZoomInfo, we share certain contact information, Account Data, System Data, Usage Data or de-identified data as needed and de-identified data means data where weï¿½ve removed things like your name and email address and replaced it with a token ID.",third parties and online advertising
"The social media features in the Services (like the Facebook Like button) may allow the third-party social media provider to collect things like your IP address and which page of the Services youï¿½re visiting, and to set a cookie to enable the feature.",third parties and online advertising
" We may share your data as necessary to administer, market, or sponsor promotions and surveys you choose to participate in, as required by applicable law (like to provide a winners list or make required filings), or in accordance with the rules of the promotion or survey.",share or transfer data
"If we decide to use an advertising-supported revenue model in the future, we may use and share certain System Data and Usage Data with third-party advertisers and networks to show general demographic and preference information among our users.",third parties and online advertising
Advertisers may also share with us the data they collect about you.,share or transfer data
"We may disclose your data to third parties if we have a good faith belief that the disclosure is Permitted or required by law, Requested as part of a judicial, governmental, or legal inquiry, order, or proceeding, Reasonably necessary as part of a valid subpoena, warrant, or other legally-valid request, Reasonably necessary to enforce our Terms of Use, Privacy, Policy, and other legal agreements, Required to detect, prevent, or address fraud, abuse, misuse, potential violations of law (or rule or regulation), or security or technical issues.",share or transfer data
"If undergoes a business transaction like a merger, acquisition, corporate divestiture, or dissolution, or a sale of all or some of its assets, we may share, disclose, or transfer all of your data to the successor organization during such transition or in contemplation of a transition.",share or transfer data
"With your permission, with your consent, we may share data to third parties outside the scope of this Privacy Policy.",third parties and online advertising
"you can update data you provide directly, log into your account and update your account at any time.",changes and updates
"even after your account is terminated, some or all of your data may still be visible to others, including without limitation any data that has been copied, stored, or disseminated by other users shared or disseminated by you or others or posted to a third-party platform.",changes and updates
"Even after your account is terminated, we retain your data for as long as we have a legitimate purpose to do so including to assist with legal obligations, resolve disputes, and enforce our agreements.",changes and updates
"When we make a material change to this policy, weï¿½ll notify users via email, in-product notice, or another mechanism required by law. ",changes and updates
"If you enroll in a course offered by a Member through the Site, information about you and your activity in the course is received and controlled also by that Member as described.",user information collection
"we do not itself collect or store financial account numbers or identification issued by a governmental entity, employer, or other authority.",user information collection
"If you do not wish to submit the required authentication or payment information, then you will not be able to obtain a certificate.",user information collection
Members do not receive your Personal Information unless and until you enroll in a course.,user information collection
"f you enroll in a course, the Member that offers the course will receive Personal Information from your account profile plus the information that collects about your activity and performance in the course in which you enrolled.",user information collection
"Like many companies, we uses Cookies and other common Tracking Technologies on the Site and in email communications to help better understand your use and needs of the Site, current and future related products and services, and how and Members can improve.",user information collection
"based on your cookie settings, tracks information indicating, among other things, which pages of the Site were visited, the order in which they were visited, when they were visited, and which hyperlinks and other user interface controls were used.",user information collection
"we also partners with third parties to help us track and understand your activity on the Site, how you interact with social media, and how you find or may be referred to the Site.",user information collection
"to enable analytics, performance and functionality, to help and Members gather information about how visitors use the Site and monitor Site performance, and to enhance your experience by recognizing and remembering whether you have visited the Site before and may have any personal preferences and to support marketing by enabling and Members to deliver content relevant to your interests on the Site and third-party sites based on how you interact with or Member advertisements or content.",how use collected information
"Operate and improve the Site we use include creating and improving features that support the community and enable Site usage at scale and includes personalizing the Site, so your learning experience is tailored to your interests and needs.",how use collected information
"Create, administer, provide, and teach courses, give Offer and improve products and services, Develop and maintain the security and performance of the Site, Communicate with you.",how use collected information
"we share information with service providers, contractors, and other third parties that help carry out the uses, With employers, government programs, institutions, or other enterprises that sponsor your enrollment in a course for training or other educational purposes.",share or transfer data
"With other learners in courses that you take and with other visitors to the Site, to create an interactive learning environment, support class participation, and share course information. ",how use collected information
"This Privacy Policy will be reviewed and updated from time to time, When changes are made, the Privacy Policy will be labeled indicating that you should review the new terms, which will be effective immediately upon posting on this page, with an updated effective date.",changes and updates
"We will collect and process your personal data when you register for a Service/create an account, subscribe to a newsletter, submit feedback, enter a contest, fill out a survey, or send us a communication.",user information collection
"When ordering products or services on the Websites or App, you may also be asked to provide a credit card number and other payment-related information.",user information collection
"We also collect your Internet Protocol (ï¿½IPï¿½) address and We use your IP address to diagnose problems with our servers and/or software, to administer our Services, and to gather demographic information.",user information collection
"We may collect certain information that does not by itself identify a specific individual and Such information tells us about your equipment, browsing actions, and the resources that you access and use through the Services, such as your operating system and browser type.",how use collected information
"We use analytics and similar services, as explained in our Cookie Policy, to help us to deliver a better and more personalized service to users by enabling us to estimate usage patterns, customize our Services according to your individual preferences, and speed up your searches.",how use collected information
"When you download our App and use our Services, we automatically collect information on the type of device you use and the operating system version, so we know the best version of the application to provide you.",user information collection
"We do not ask you for, access, or track any location-based information from your mobile device at any time while downloading or using our App or Services.",user information collection
When you contact us for customer support we may collect additional information to resolve your issue and may request you to bind your account improve your customer service experience.,user information collection
"If you are a school and you use a service for children under the age of 16, or the equivalent minimum age in the relevant jurisdiction, you are responsible for obtaining consent from the parents/legal guardians of each child you wish to allow to participate in using any of our Services.",user information collection
To present content from our Services in an effective manner for you and for your computer or mobile device,how use collected information
"To provide you with information, products or services that you request from us or which we feel may interest you",how use collected information
"To carry out our obligations arising from any contracts entered into between you and us, including for billing and collection",how use collected information
"If you pay for Services using a credit card, we will transmit your credit card data to the appropriate credit card company and/or credit card payment processing company",how use collected information
"To allow you to participate in interactive features of our Services, when you choose to do so",how use collected information
In any other way we may describe when you provide the information or when we prompt you regarding a new use of information about you.,how use collected information
"We and our service providers use your personal data to operate our Websites and to deliver Services, For example, we must release your credit card information to the card-issuing bank to confirm payment for products and services purchased on our Websites; and provide order information to third parties that help us deliver the Services.",share or transfer data
" We will also disclose personal data in the following circumstances if it is required by law enforcement or judicial authorities, or to cooperate with a law enforcement investigation, if we have a good faith belief that we are required or permitted to do so by law or legal process, to protect our rights, reputation, property or the safety of us or others to defend or enforce our rights or your obligations, if the disclosure is required by mandatory professional standards to a third party with your prior consent to do so or if we are under a duty to disclose or share your personal data in order to enforce or apply any contracts or agreement that may exist between you and us. ",share or transfer data
"In the event that we decides to sell all or part of its stock or assets or enter into a merger, we reserve the right to include your data, including personal data, among the assets transferred to the acquiring or surviving company.",share or transfer data
You can ask us to erase or delete all or some of your personal data ,changes and updates
You can edit some of your personal data through your account.,changes and updates
You may change your personal data associated with your account on your Profile.,changes and updates
"You may also access, request deletion, and correct your personal data by submitting a data request through Customer Support or by writing to us at the addresses at the end of this Privacy Policy.",changes and updates
It is our policy to post any changes we make to our Privacy Policy on this page with a notice that the Privacy Policy has been updated on the Websites.,changes and updates
"privacy Policy was last revised is identified at the top of the page and You are responsible for ensuring we have an up-to-date active and deliverable email address for you, and for periodically visiting our Websites and this Privacy Policy to check for any changes.",changes and updates
"we collect Contact Data, including your first and last name, email address, postal address, and phone number.Account Credentials, including your username, password, password hints, and information for authentication and account access, Demographic Data, including your age, gender, and country, Billing Data, including your payment instrument number such as a credit or debit card number, expiration date, and security code as necessary to process your payments andProfile Data, including your interests, inferences, preferences and favorites.",user information collection
"we collect content within any messages you send to us such as feedback and questions to customer support or publicly post on the Service such as in your public profile, in reviews, and comments as well as any academic content that you generate and submit for grading,  We also collect content within any messages you exchange with other users through the Service such as if you use our chat functionalities.",user information collection
"We collect data about your contacts with your consent and in order to fulfill a request by you, such as finding your contacts on the Service or inviting your contacts to join the Service.",user information collection
"we collect Job Applicant Data, including your employment and education history, transcript, writing samples, and references as necessary to consider your job application for open positions.",user information collection
"we collect Service Use Data, including data about features you use, pages you visit, emails and advertisements you view, products and services you view and purchase, the time of day you browse, and your referring and exiting pages.",user information collection
"we collect Device Data, including data about the type of device or browser you use, your deviceï¿½s operating software, your internet service provider, your deviceï¿½s regional and language settings, and device identifiers such as IP address and Ad Id.",user information collection
"we collect Location Data, including imprecise location data such as location derived from an IP address or data that indicates a city or postal code level and, with your consent, precise location data such as latitude andlongitude data.",user information collection
"We use various current and later developed tracking technologies to automatically collect information when you use the Service, including the Log Files, Cookies, Pixels, Device Fingerprinting, App Technologies and Location-Identifying Technologies.",user information collection
"we use collected data to Operate and manage our Service, including your registration and account.",how use collected information
"Perform services requested by you, such as respond to your comments, questions, and requests, and provide customer service.",how use collected information
"Sending you technical notices, updates, security alerts, information regarding changes to our policies, and support and administrative messages.",how use collected information
"Preventing and addressing fraud, breach of policies or terms, and threats or harm.",how use collected information
"Monitoring and analyzing trends, usage, and activities.",how use collected information
"Conducting research, including focus groups and surveys.",how use collected information
"Improving the Service or other websites, apps, marketing efforts, products and services.",how use collected information
"Developing and sending you direct marketing, including advertisements and communications about our and other entitiesï¿½ products, offers, promotions, rewards, events, and services.",how use collected information
"Conducting promotions, including verifying your eligibility and delivering prizes in connection with your entries.",how use collected information
Sending you advertising.,how use collected information
Fulfilling any other business or commercial purposes at your direction or with your notice andr consent.,how use collected information
We share information with service providers that process information on our behalf for our business purposes. ,share or transfer data
"We share information with vendors for business and commercial purposes, including analytics and advertising technology companies.",share or transfer data
"We share information with our related entities including our parent and sister companies for business purposes such as customer support, marketing, and technical operations.",third parties and online advertising
We share information with our corporate customers and schools that purchase our Service in connection with us processing information on their behalf,third parties and online advertising
We share information with our partners.,third parties and online advertising
"When you voluntarily enter a sweepstakes, contest, or other promotion, we share information as set out in the official rules that govern the promotion as well as for administrative purposes and as required by law.",share or transfer data
"We share information you make public through the Service, such as information in your profile or that you post on public boards or other public sections of the Service.",share or transfer data
"We share information in connection with, or during negotiations of, any proposed or actual merger, purchase, sale or any other type of acquisition or business combination of all or any portion of our assets, or transfer of all or a portion of our business to another business.",third parties and online advertising
"We share information to comply with the law or other legal process, and where required, in response to lawful requests by public authorities, including to meet national security or law enforcement requirements.",share or transfer data
"We share information at your request or direction, such as when you choose to share information with a social network about your activities on the Service.",share or transfer data
"we work with agencies, advertisers, ad networks, and other technology services to place ads about our products and services on other websites and services.",third parties and online advertising
"As part of this process, we may incorporate tracking technologies into our own Service including our website and emails as well as into our ads displayed on other websites and services",third parties and online advertising
We also use audience matching services to reach people who have visited our Service or are identified in one or more of our databases,third parties and online advertising
"we reserves the right to modify or update this Privacy Policy from time to time to reflect the changes in our business and practices, and so you should review this page periodica",changes and updates
When we change the policy we will reflect the last modified date at the top of this Privacy Policy.,changes and updates
"Through the registration process, you will provide us with your name, e-mail address and age or date of birth.",user information collection
"We will also generate data about your use of our Services including your engagement in educational activities on the Service, or your sending of messages and otherwise transmitting information to other users",user information collection
"We do record Usage Patterns, Clicks, Mouse movements, Scrolling, Typing",user information collection
"When you take a Live Speaking Lesson, we will use your computer's microphone throughout the lesson to speak to your tutor, You also have the option of using your camera to share your video with your tutor and records these audio and video lessons and retains them until you close your account and uses this data to help improve the quality of the lessons and for internal research purposes.",user information collection
"If you register for Test, you will also provide us with your gender, native language, secondary school, and self-reported test scores. ",user information collection
we will be able to note if any peripherals are used during the test like external devices attached to your computer but will not have any control or access to these peripherals and please remove them if you do not need us to recognize it.,user information collection
"When you participate research activities, the information you provide will be used to test, improve, and develop our products.",user information collection
"When you enter the Website, we collect your browser type and your IP address a unique address that identifies your computer on the Internet. ",user information collection
"Third Party Advertising Service Providers collect and use personal data about your visits to and use of the Website and mobile Application, as well as other websites in order to serve you with advertisements and content tailored to meet your preferences and likely interests or better understand ad effectiveness.",third parties and online advertising
We use Google Analytics which is a web analytics tool that helps us understand how users engage with the Website. ,share or transfer data
You can opt-out of receiving personalized ads from advertisers and ad networks that are members of the Network Advertising Initiative or who follow the DAA Self-Regulatory Principles for Online Behavioral Advertising using their respective opt-out tools.,third parties and online advertising
"We may also use your contact information to send you notifications regarding new services, offers and promotions offered if you affirmatively consent to receive such communications.",how use collected information
To provide accurate testing results to Score Recipients ,how use collected information
To compare your Testing ID to your Testing Video to ensure that the person who registered for the examination is the same person who took the examination,how use collected information
"To store and review the Testing Video recording, the active software processes and the volume of network traffic to validate that you took the examination without improper assistance.",how use collected information
"For our research team to validate and improve the examination, in an anonymized format",how use collected information
To analyze audio recordings of verbal responses to improve our ability to understand the spoken language,how use collected information
To share your Testing ID with your consent upon initiation of a dispute by a Score Recipient,how use collected information
"we shares your personal data only when it is necessary to offer the Service, legally required, or permitted by you.",share or transfer data
"We will provide personal data to hosting providers such as Amazon Web Services, search engine providers such as Google, analytics providers.",share or transfer data
"If the ownership of all or substantially all of the business, or individual business units or assets owned us that are related to the Service, were to change, your personal data will be transferred to the new owner.",share or transfer data
"we do not share your personal data with these third party websites unless it is reasonably necessary to offer the Service, they may be able to link certain non-personally identifiable information we transfer to them with personal data they previously collected from you.",third parties and online advertising
"The types of personal information collected by us may include your name, e-mail address, phone number, demographic information, login information, billing information, and other information that you provide to us. ",user information collection
"The personal information you provide is used for such purposes as responding to your requests for certain information, products and services, customizing the advertising and content you see, and communicating with you about specials and new features.",how use collected information
"We may also use your email address to send you other messages, such as newsletters, changes to features of the Services, or special offers. ",how use collected information
"Opting out may prevent you from receiving messages regarding updates, improvements, or offers. ",share or transfer data
"we automatically receives and records information on our server logs from your browser, including your IP address, cookie information, and the page you requested. ",user information collection
To present our Services and their contents to you.,how use collected information
"To provide you with information, products or services that you request from us.",how use collected information
To fulfill any other purpose for which you provide your information.,how use collected information
To provide you with notices about your  account.,how use collected information
"To carry out our obligations and enforce our rights arising from any contracts entered into between you and us, including for billing and collection.",how use collected information
To notify you about changes to our Services or any products or services we offer or provide through it.,how use collected information
For the purpose of aggregated statistical analysis of how you and others use our website and our Services.,how use collected information
For developing and marketing other services.,how use collected information
For the management of our relationships and the administration of our Services and business.,how use collected information
In any other way we may describe when you provide the information.,how use collected information
For any other legal purpose with your consent.,how use collected information
We may share information with third parties that provide products and services related to our business.,share or transfer data
We may also share your information with third parties for marketing purposes.,third parties and online advertising
" These third parties may use your information for their own marketing purposes or the marketing purposes of others, and this may include the delivery of interest-based advertising.",third parties and online advertising
"Personal information is collected and shared to the extent necessary to enable such processing and These data processors include GetResponse, Google Analytics, and JW Player, and may also include other service providers that facilitate processing of information to enable the Services to function.",third parties and online advertising
"Unless we tell you differently, Big Think's data processors and agents do not have any right to use personal information we share with them beyond what is necessary to assist us.",share or transfer data
"We do not currently send offers to users on behalf of other businesses, but reserve the right to do so and If we do so, we will not give the other business your name and address and If you receive an offer and do not wish to receive further offers, please send us an email to unsubscribe or click on the unsubscribe link at the bottom of the email.",share or transfer data
personal information is typically one of the business assets that is transferred,share or transfer data
"Your information may be transferred, stored, or processed on servers outside of your home country.",share or transfer data
"If we make changes in the way we use personal information, we will notify you via e-mail or by posting an announcement on website.",changes and updates
We may collect personal information such as your location. ,user information collection
We may collect your name and contact information when you create an account also collect information relating to the actions that you perform while logged into your account. T,user information collection
"We may collect contact information such as name, e-mail, address and/or phone of our business clients and their employees with whom we may interact. ",user information collection
"If you receive e-mail from us, we use certain tools to capture data related to when you open our message, click on any links or banners it contains and make purchases. ",user information collection
"If you provide us feedback or contact us for support we may collect your name and e-mail address, as well as any other content that you send to us.",user information collection
We collect information that you may choose to provide as part of a co-branded promotion with another company.,user information collection
"When you participate in a survey, we collect information that you provide through the survey.",user information collection
"When you choose to participate in a sweepstakes or contest, we collect information about you, which includes contact information to notify you if you are selected. ",user information collection
We may collect information from your mobile device such as unique identifying information broadcast from your device when visiting one of our websites. ,user information collection
"We use technology to discover how you interact with our website, which links you click on, or information that you type into our online forms and information about your device or browser. ",user information collection
" We use technology to discover how you interact with our website (e.g., session replay). This may include which links you click on, or information that you type into our online forms. This may also include information about your device or browser. ",user information collection
"We use cookies, and other technologies, to track devices across time and when they visit different websites that deploy or monitor our cookies.",user information collection
"We and our service providers may collect and store information about usersï¿½ interactions with unaffiliated websites and applications that use our technologies, including cookies and similar tracking technologies. ",user information collection
"We may collect information, including your browser type, operating system, Internet Protocol (IP) address, domain name, click-activity, referring website, and/or a date/time stamp for visitors. ",user information collection
To identify you when you visit our websites.,how use collected information
To provide products and services.,how use collected information
To improve our services and advertiser product offerings.,how use collected information
To conduct analytics.,how use collected information
"To respond to inquiries related to support, employment opportunities or other requests. ",how use collected information
"To send marketing and promotional materials, including information relating to our products, services, sales, or promotions.",how use collected information
"For internal administrative purposes, as well as to manage our relationships.",how use collected information
To automatically build user profiles and marketing segments based on the interests of particular groups and do not have legal or similarly significant effects on individuals.,how use collected information
"If you complete an online purchase we may collect your information to perform our contract with you, but we also collect your information as we have a business need in maintaining your information after your transaction is complete so that we can quickly and easily respond to any questions about your order. ",how use collected information
"We may share information with our corporate affiliates parent company, sister companies, subsidiaries, joint ventures, or other companies under common control.",share or transfer data
"If another company acquires, or plans to acquire, our company, business, or our assets, we will also share information with that company using appropriate safeguards, including at the negotiation stage. ",third parties and online advertising
" When we collect information on behalf of our business clients, we share that information with our clients. ",share or transfer data
"We may offer contests, sweepstakes, or other promotions with third party partners and If you decide to enter a contest, sweepstakes, or promotion that is sponsored by a third party partner the information that you provide will be shared with us and with them and their use of your information is not governed by this privacy policy.",share or transfer data
We may share your information with service providers.,share or transfer data
 We may ask if you would like us to share your information with other unaffiliated third parties who are not described elsewhere in this policy.,third parties and online advertising
"We may disclose information in response to subpoenas, warrants, or court orders, or in connection with any legal process, or to comply with relevant laws. ",share or transfer data
We may change our privacy policy and practices over time and We will post a notice to our website to inform you of any material changes to our privacy policy and indicate when it was most recently updated. ,changes and updates
"Our privacy policy includes an ï¿½effectiveï¿½ and ï¿½last updatedï¿½ date and the effective date refers to the date that the current version took effect, the last updated date refers to the date that the current version was last substantively modified.",changes and updates
"You may provide us information about yourself, such as your name or e-mail address, when you use or post content on Services, including registering for the use of certain features such as email RSS feeds.",user information collection
"The advertisements we deliver may offer the ability to interact, including playing a game or viewing a video,  The ad may also give you the opportunity to provide the advertiser with information about yourself and In some instances, if you choose to interact with an advertisement or provide an advertiser with information about yourself, we may collect information on behalf of the advertiser. ",third parties and online advertising
"When you visit the website, we or third parties such as advertisers, third-party advertising networks, and third-party advertising serving companies may collect non-personally identifiable information. ",third parties and online advertising
"When you visit the website, we may send one or more cookies a small text file containing a string of alphanumeric characters to your computer that uniquely identifies your browser and lets help you log in faster and enhance your navigation through the site.",how use collected information
"We use the browser information to help us understand how many visitors come to our websites and where you come from, and ultimately to help us make decisions about how to organize the websites and deliver advertising.",how use collected information
"We may display your IP address to the owners or maintainers of certain blogs, groups or communities if you post to those blogs, groups or communities and the owner or maintainer.",share or transfer data
Third party advertisers may use non personally identifiable information about you.,share or transfer data
We will not rent or sell your personally identifiable information to others and only shares personally identifiable information with other companies or individuals outside of the Services.,third parties and online advertising
"We may share non personally identifiable information like usage data, referring, exit pages and URLs, platform types, number of clicks with third parties to help them understand the usage patterns.",how use collected information
"We may modify or update this Privacy Policy at its sole discretion from time to time, and so you should review this Privacy Policy periodically.",changes and updates
Changes to this Privacy Policy are effective when they are posted on this page. ,changes and updates
We automatically receive your IP address when you browse it. ,how use collected information
Your data also be used by the third party ad networks to measure the effectiveness of their advertisements to personalize the advertising content that you see.,third parties and online advertising
If you wish to disable cookies you may do so through your individual browser options.,changes and updates
You should provide a valid email address and a correct phone number where the Customer can be reached.,user information collection
"The customer is responsible for Unauthorized transactions made through the website, including but not limited to Customer's account credentials safety, credit card, or debit card security.",user information collection
"The Company reserves the right to request the Customer to provide a print-screen of our charge in Customerï¿½s online banking, other charges can be hidden.",user information collection
Everything provided by the Customer in order to pass the Verification process is never shared to any third parties,user information collection
The copies that are requested are not used for any other purpose but only to verify the Customer's identity,user information collection
For the Customer's security the Company does not store files and documents that are sent for Verification,user information collection
"When requested to verify the Customerï¿½s billing information, it is the Customerï¿½s sole responsibility to comply immediately to ensure that the billing information meets the Companyï¿½s anti fraud policies and procedures.",user information collection
Any unauthorized use of a stolen credit card is prohibited by law and will be reported to the applicable law enforcement agencies for further investigation and the Company works closely with the authorities to fight cyber crime and report all fraudulent Orders for prosecution.,user information collection
